Name($mm),Ticker,Revenue in IPO Year(k dollars),Revenue Prior to IPO(k dollars),R&D in IPO Year(k dollars),R&D Prior to IPO(k dollars)
"Marin Software,Inc.",MRIN,"$59,558 ","$36,121 ","$14,014 ","$7,071 "
Nant Health,NH,"$58,304 ","$33,921 ","$23,835 ","$16,979 "
Channel Advisors,ECOM,"$53,587 ","$43,570 ","$10,109 ","$8,842 "
Amber Road,AMBR,"$52,527 ","$43,368 ","$7,936 ","$5,775 "
"LogMelN,Inc.",LOGM,"$51,723 ","$26,999 ","$11,997 ","$6,661 "
Tabula Rasa Healthcare,TRHC,"$48,428 ","$25,143 ","$1,660 ","$1,338 "
"Appfolio,Inc.",APPF,"$47,671 ","$26,542 ","$6,505 ","$5,057 "
"JiveSoftware,Inc.",JIVE,"$46,268 ","$29,994 ","$18,278 ","$8,047 "
Instructure,INST,"$44,352 ","$26,055 ","$21,290 ","$11,242 "
"Cornerstone  OnDemand,Inc.",CSOD,"$43,731 ","$29,322 ","$5,602 ","$2,791 "
Wix.com Ltd.,WIX,"$43,676 ","$24,600 ","$16,782 ","$14,746 "
Ellie Mae,ELLI,"$43,234 ","$37,707 ","$10,468 ","$7,945 "
Upland Software,UPLD,"$41,193 ","$22,763 ","$10,340 ","$5,308 "
Q2 Holdings,QTWO,"$41,101 ","$26,982 ","$5,317 ","$3,428 "
"SPS Commerce,Inc.",SPSC,"$37,746 ","$30,697 ","$4,305 ","$3,640 "
Shopify,SHOP,"$37,348 ","$18,810 ","$7,313 ","$6,086 "
CallidusSoftware,CALO,"$26,586 ","$22,893 ","$11,118 ","$10,659 "
"The Ultimate Software Group,I",nc ULTI,"$17,592 ","$9,312 ","$4,837 ","$3,360 "
"Castl ght Health,Inc.",CSLT,"$12,973 ","$4,154 ","$15,219 ","$9,718 "
"Hortonworks,Inc.",HOP,"$10,998 ","$1,646 ","$12,070 ","$6,881 "
J2 Global,JCOM,"$7,643 ","$3,520 ","$1,829 ","$1,226 "
